28603 0 626178	Visualizing web site comparisons.
227 1 4405	Thomas R. Ioerger
19450 0 278536	Mining Associations by Pattern Structure in Large Relational Tables.
36750 3 11554	lowell
19944 0 308879	Coupled Clustering: a Method for Detecting Structural Correspondence.
2380 1 18007	Anthony LaMarca
23229 0 487261	A Practical Method for Approximate Subsequence Search in DNA Databases.
32383 3 4131	running
35785 3 9898	rs
24403 0 550800	Automatic Document Classification: Natural Language Processing, Statistical Analysis, and Expert System Techniques used together.
22391 0 436465	Mining top-n local outliers in large databases.
37515 3 13063	isotonic
35217 3 8979	notion
1102 1 15454	Steve Whittaker
5060 1 39365	Marco Maggini
9361 1 152917	Jolly Chen
12004 1 288490	Sindhura Bandhakavi
3551 1 20522	Shihao Ji
6725 1 84298	Chenyi Xia
34508 3 7616	enhancement
3778 1 22127	Eugenio Oliveira
25646 0 552707	A unified and discriminative model for query refinement.
28422 0 597697	Dynamic Workload Management for Very Large Data Warehouses: Juggling Feathers and Bowling Balls.
5740 1 53238	Geoffrey Holmes
5651 1 51659	Bir Bhanu
29762 3 958	relatinships
3561 1 20532	Andrey Glaschenko
5458 1 48970	Jing Li
24556 0 551029	Distributed Indexing: A Scalable Mechanism for Distributed Information Retrieval.
32303 3 4017	aladin
15537 0 11113	Steps from Explanation Planning to Model Construction Dialogues.
27532 0 596137	Implementation of SQL3 Structured Types with Inheritance and Value Substitutability.
31954 3 3538	literal
6306 1 75364	Vincent C. S. Lee
11671 1 261800	Beena Kamath
19489 0 278604	Bagging with Adaptive Costs.
32375 3 4123	minimizing
5240 1 43188	Silja Renooij
2745 1 18811	Gerald E. Peterson
27342 0 595839	Principles of Optimally Placing Data in Tertiary Storage Libraries.
35308 3 9151	relocation
2288 1 17766	Josh D. Tenenberg
2299 1 17777	Caroline N. Koff
21504 0 359742	The Nonlinear Nature of Plans.
14336 1 438626	Nga Tran
37116 3 12157	holes
34254 3 7195	policyblocks
36916 3 11851	versant
18211 0 276003	A Novel Deadline Driven Disk Scheduling Algorithm for Multi-Priority Multimedia Objects.
2064 1 17313	Javier Larrosa
33411 3 5883	ten
31696 3 3194	second
23513 0 500871	Mining Text Archives: Creating Readable Maps to Structure and Describe Document Collections.
33774 3 6460	mlr
18552 0 276744	JazzMatch: Fine-Grained Parallel Matching for Large Rule Sets.
29514 3 689	between
18918 0 277480	Rewriting Regular XPath Queries on XML Views.
33733 3 6394	extensibility
11063 1 260504	Luke Tucker
31230 3 2622	interlinking
10115 1 175515	Gianni Costa
31750 3 3264	invariants
32635 3 4478	apt
1910 1 16988	Allen Ginsberg
7300 1 104719	Kyung-Ah Sohn
34538 3 7685	sounds
10174 1 175638	Aloysius Cornelio
37481 3 12920	picashow
20312 0 356636	Logic-Based Subsumption Architecture.
13266 1 421066	Hyuk-Jin Lee
15 1 456	Piotr Jasiobedzki
13272 1 421074	Michael Schwantner
26651 0 555904	Kweelt: More than just "yet another framework to query XML!"
13631 1 421581	Tee Kiah Chia
10972 1 260308	Bernhard Ertl
30017 3 1232	hearsay
6706 1 84178	T. Abbod
28426 0 597705	Extending XQuery with Window Functions.
29241 3 403	self
22761 0 437128	New Algorithms for Fast Discovery of Association Rules.
2004 1 17205	John Phelps
19148 0 277971	Designing Random Sample Synopses with Outliers.
30776 3 2104	personality
32280 3 3990	mcp
9888 1 171245	Irmina Masowska
21728 0 360291	IRIS: A System for the Propogation of Inferences in a Semantic Net.
9566 1 159944	Vandana Pursnani Janeja
10095 1 175480	Stefan Gower
12733 1 366429	Tom Khabaza
35264 3 9064	keep
598 1 10931	Bin Zhang
3934 1 26080	Pablo Castells
15505 0 11018	Autonomous Color Learning on a Mobile Robot.
26938 0 556378	MIDST: model independent schema and data translation.
34565 3 7731	obligations
9054 1 140038	Suneel Suresh
33865 3 6606	iro
4994 1 38168	M. Lopez
28831 0 627252	Efficient similarity joins for near duplicate detection.
23198 0 487194	On Association, Similarity and Dependency of Attributes.
12657 1 366285	Ruey-Hsia Li
17512 0 162667	Deductive Database Support for Data Visualization.
36470 3 11130	opinionated
15382 0 10662	Corpus Analysis for Revision-Based Generation of Complex Sentences.
29215 3 375	query
30146 3 1366	lazy
11427 1 261307	Xiangyuan Dai
18479 0 276590	Semantic Data Engineering for Generalized Databases.
15986 0 12173	A Vehicle Routing System to Solve a Periodic Vehicle Routing Problem for a Food Chain in Hong Kong.
18357 0 276292	An Optimized Multicast-based Data Dissemination Middleware.
19400 0 278444	Mining Constrained Association Rules to Predict Heart Disease.
26940 0 556380	Fast data stream algorithms using associative memories.
36511 3 11180	territorial
23281 0 487493	A Cluster-Based Genetic-Fuzzy Mining Approach for Items with Multiple Minimum Supports.
6108 1 69187	Ben Y. Zhao
7228 1 101650	Frank A. Bisby
19758 0 308295	A Bayesian Analysis of Algorithms for Learning Finite Functions.
24453 0 550892	Keynote Address - exploring, modeling, and using the web graph.
29652 3 843	project
10358 1 182860	Wei Chu
12093 1 306205	Min Lu
10863 1 257753	Jin H. Kim
34009 3 6812	modelgen
24371 0 550752	Improving collection selection with overlap awareness in P2P search engines.
25558 0 552588	BrowseRank: letting web users vote for page importance.
9083 1 146231	Ingrid M. Walter
19144 0 277925	Fixed-Precision Approximate Continuous Aggregate Queries in Peer-to-Peer Databases.
23637 0 503808	Sets and Negation in a Logic Database Language (LDL1).
27314 0 595789	Storage and Access Structures to Support a Semantic Data Model.
7451 1 112341	Xin Yao
23541 0 500949	Itemset Classified Clustering.
29561 3 743	deduction
18938 0 277506	GString: A Novel Approach for Efficient Search in Graph Databases.
34 1 737	Sundar Vedula
1037 1 15365	Donald C. Allen
29805 3 1002	tables
25742 0 554210	PIX: Exact and Approximate Phrase Matching in XML.
36816 3 11660	pipes
25992 0 554630	Partition Selection Policies in Object Database Garbage Collection.
10725 1 231049	Fusako Hirabayashi
20379 0 356793	On the Semantics of Knowledge Update.
31843 3 3396	row
2385 1 18018	John Levine
18177 0 275932	Power Conservative Multi-Attribute Queries on Data Broadcast.
14424 1 453415	C��lia Francisca dos Santos
17799 0 275203	XomatiQ: Living With Genomes, Proteomes, Relations and a Little Bit of XML.
22874 0 437348	Efficient computation of personal aggregate queries on blogs.
28678 0 626695	Quality driven web services composition.
27252 0 595691	Transaction and Catalog Management of the Distributed File Management System DISCO.
14165 1 438299	Roland Dahl
29776 3 972	wing
29322 3 489	scheme
35314 3 9160	amn
17589 0 162834	Efficient Queries over Web Views.
26532 0 555671	Density Biased Sampling: An Improved Method for Data Mining and Clustering.
13767 1 422271	C. K. Tan
36933 3 11882	flocks
1522 1 16275	Simon Colton
3333 1 20119	Nicol��s D. Rotstein
9454 1 156308	Mar��a Jos�� Aramburu Cabo
29832 3 1032	crawling
18292 0 276168	An Efficient Approximation Scheme for Data Mining Tasks.
20299 0 309906	Fast solvers and efficient implementations for distance metric learning.
8973 1 139296	Ingrid Carlbom
9213 1 149389	Victor Teixeira de Almeida
5153 1 41421	Wojciech Ziarko
1516 1 16262	Kenneth Mark Colby
28816 0 627218	Scalable querying services over fuzzy ontologies.
25351 0 552307	Topic segmentation using weighted lexical links (WLL).
31041 3 2399	overlay
18568 0 276786	Object-Oriented Models for Heterogeneous Multidatabase Management Systems.
37356 3 12616	gordian
7804 1 113917	Stefan Edlund
22322 0 436316	Combining Data Mining and Machine Learning for Effective User Profiling.
9132 1 148754	Michael Flaster
7211 1 100991	Yoichi Muraoka
10245 1 175758	Mehedi Masud
22096 0 361130	Complexity Results for Checking Equivalence of Stratified Logic Programs.
21453 0 359639	Representing Sentence Structure in Hidden Markov Models for Information Extraction.
24758 0 551369	Refining hierarchical taxonomy structure via semi-supervised learning.
14980 0 9277	SemNews: A Semantic News Framework.
28598 0 626149	Keyword extraction for contextual advertisement.
34475 3 7554	clash
29632 3 821	structuring
4288 1 29642	Minoru Tanaka
974 1 15248	Adrian K. Agogino
22804 0 437218	Enhancing semi-supervised clustering: a feature projection perspective.
34580 3 7756	mt
22335 0 436339	Correlating synchronous and asynchronous data streams.
7270 1 103092	Sridhar Ramaswamy
16042 0 12277	User Identification by Means of Sketched Stroke Features.
29291 3 456	effects
22482 0 436638	Mining frequent item sets by opportunistic projection.
36309 3 10871	personalised
22826 0 437266	Predictive discrete latent factor models for large scale dyadic data.
37610 3 13275	firestream
9650 1 163075	David DeHaan
33775 3 6461	preparing
37566 3 13218	pbitree
12384 1 316901	S. M. Udupa
29809 3 1006	alternative
25614 0 552663	Query dependent ranking using K-nearest neighbor.
34449 3 7504	presorting
120 1 2237	Junho Shim
20242 0 309743	Optimal dimensionality of metric space for classification.
21173 0 358917	A Hole in Goal Trees: Some Guidance from Resolution Theory.
11440 1 261352	Hazem Elmeleegy
33312 3 5644	sub
11514 1 261471	Aleksandras Surna
11434 1 261334	Karl Schnaitter
35445 3 9373	arbitrarily
8135 1 114444	Vassilis Athitsos
8441 1 117319	Hideo Itoh
24089 0 536260	Adaptive Filtering for Efficient Record Linkage.
4050 1 26899	Myung-Gil Jang
1143 1 15516	Christopher Bailey-Kellogg
25476 0 552480	Crosslingual location search.
28507 0 625532	Shared lexicon for distributed annotations on the Web.
18212 0 276008	Indexing for Dynamic Abstract Regions.
2537 1 18292	Xuerui Wang
17711 0 163073	Flint: Google-basing the Web.
16004 0 12209	Strategyproof Classification under Constant Hypotheses: A Tale of Two Functions.
18456 0 276528	Leveraging Mediator Cost Models with Heterogeneous Data Sources.
35438 3 9364	revi
13193 1 413402	Steve Barr
13678 1 422142	Shridhar Acharya
25958 0 554572	Finding Replicated Web Collections.
8542 1 123421	Margaret King
18556 0 276760	Metadata Propagation in Large, Multi-Layer Database Systems.
28363 0 597613	VXMLR: A Visual XML-Relational Database System.
31203 3 2589	dist
3676 1 20753	Dan Zhang
20418 0 356907	Proactive Algorithms for Scheduling with Probabilistic Durations.
29268 3 433	noisy
27395 0 595914	AIM - An Integrity Monitor for the Database System INGRES.
22093 0 361124	Planning with Goal Utility Dependencies.
12491 1 327157	Deept Kumar
27909 0 596808	RoadRunner: Towards Automatic Data Extraction from Large Web Sites.
34978 3 8497	ship
3187 1 19833	Richard C. Yee
26691 0 555981	Efficient Query Reformulation in Peer-Data Management Systems.
30627 3 1907	measurement
25774 0 554265	Extending XQuery for Analytics.
12994 1 391141	Hyongguen Kim
12766 1 366493	Paat Rusmevichientong
26863 0 556267	Why off-the-shelf RDBMSs are better at XPath than you might expect.
26745 0 556076	Algebraic Support for Complex Objects with Arrays, Identity, and Inheritance.
9772 1 167397	Werner Frey
1975 1 17123	Benjamin N. Grosof
18882 0 277434	An Online Approach to Physical Design Tuning.
20076 0 309279	Characterizing the generalization performance of model selection strategies.
16358 0 86145	Modeling a Vocabulary in an Object-Oriented Database.
16483 0 86380	Techniques for efficient fragment detection in web pages.
18290 0 276165	A Graphical Editor for the Conceptual Design of Business Rules.
21000 0 358417	Hierarchical Bayesian Clustering for Automatic Text Classification.
20388 0 356814	Three-Dimensional Shape From Line Drawings.
25908 0 554500	Stratified Computation of Skylines with Partially-Ordered Domains.
26766 0 556109	GraphMiner: a structural pattern-mining system for large disk-based graph databases and its applications.
28305 0 597516	State-Slice: New Paradigm of Multi-query Optimization of Window-based Stream Queries.
30243 3 1471	competitive
5383 1 48495	Ari K. J��nsson
18914 0 277474	Many-to-Many Aggregation for Sensor Networks.
25810 0 554339	A Complete Axiomatization for Functional and Multivalued Dependencies in Database Relations.
29364 3 533	pooling
3873 1 23578	Nanning Zheng
6428 1 77941	Florin Dragan
27381 0 595892	From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery.
5867 1 59127	Boulos Harb
22661 0 436983	Camouflaged fraud detection in domains with complex relationships.
24104 0 536283	Cube Lattices: A Framework for Multidimensional Data Mining.
34929 3 8374	sis
31410 3 2843	basic
7328 1 106468	Simon J. Gibbs
26693 0 555984	Write-Only Disk Caches.
6049 1 65411	Carlo Montangero
6761 1 85807	Bernhard Seeger
752 1 12877	Martin Brooks
12088 1 305327	A. Steven Pollitt
33110 3 5175	histogram
10050 1 173494	Gemma C. Garriga
30467 3 1731	hong
9288 1 152340	David Lauzon
21087 0 358684	Semi-Automated Analysis of Protocols From Novices and Experts Solving Physics Problems.
23754 0 504022	GYO Reductions, Canonical Connections, Tree and Cyclic Schemas and Tree Projections.
12364 1 316823	R. A. Chestek
26821 0 556207	Ensuring Relaxed Atomicity for Flexible Transactions in Multidatabase Systems.
9066 1 141203	Rostam Joobbani
16168 0 85797	An Analysis of the Structural Validity of Ternary Relatinships in Entity Relationship Modeling.
1524 1 16278	Paolo Santi
30421 3 1673	map
24061 0 536223	Striking Two Birds With One Stone: Simultaneous Mining of Positive and Negative Spatial Patterns.
36868 3 11752	dml
26113 0 554881	Sagas.
36056 3 10464	pack
30681 3 1972	view
34755 3 8042	anastasil
23269 0 487412	Enriching WordNet with Folksonomies.
36267 3 10813	situate
16747 0 86835	Validating associations in biological databases.
20722 0 357720	Massively Parallel Support for Efficient Knowledge Representation.
15232 0 10169	Representing Actions with an Assumption-Based Truth Maintenance System.
2735 1 18792	James A. Reggia
25250 0 552159	A Probabilistic Algorithm for Nearest Neighbour Searching.
34157 3 7026	round
27644 0 596330	Simple and Realistic Data Generation.
9442 1 156193	Guangyi Bai
14114 1 438205	Per O. Gyllstrom
18021 0 275633	Maintaining Quasi Serializability in Multidatabase Systems.
22067 0 361072	Conjunctive Query Answering for the Description Logic SHIQ.
2451 1 18132	Alejandro L��pez-Ortiz
27988 0 596946	Generating Call-Level Interfaces for Advanced Database Application Programming.
23821 0 504131	The Expressiveness of a Family of Finite Set Languages.
8728 1 129980	Michele Gorgoglione
19197 0 278093	Mining Frequent Spatio-Temporal Sequential Patterns.
2793 1 18903	Weiru Liu
4621 1 34372	Konstantinos Morfonios
22819 0 437247	Mining templates from search result records of search engines.
28399 0 597665	Indexable PLA for Efficient Similarity Search.
31844 3 3397	convex
21439 0 359607	Item Selection Strategies for Collaborative Filtering.
33727 3 6384	sensemaking
20298 0 309899	Modeling interleaved hidden processes.
19907 0 308761	Learning the Kernel Matrix with Semi-Definite Programming.
34242 3 7177	choose
16631 0 86621	Efficient query monitoring using adaptive multiple key hashing.
24426 0 550851	Searching Distributed Collections with Inference Networks.
13573 1 421503	Krishnan Ramanathan
15506 0 11027	Managing the Life Cycle of Plans.
25846 0 554400	Efficient Processing of Spatial Joins Using R-Trees.
6860 1 86238	Philipp R?sch
1570 1 16348	R. L. Cromwell
34883 3 8294	command
9262 1 152176	Christian Thomsen
33988 3 6787	spicy
4703 1 34675	Oded Shmueli
13838 1 422441	Mark N. Haynie
4783 1 35478	Holger Meyer
7190 1 99605	Lalit Garg
8012 1 114260	Ron Papka
19598 0 278769	Cluster Analysis of Time-Series Medical Data Based on the Trajectory Representation and Multiscale Comparison Techniques.
23829 0 504152	Computing full disjunctions.
18444 0 276500	Bootstrapping Semantic Annotations for Content-Rich HTML Documents.
15139 0 9887	Rule-Based Inference in Large Knowledge Bases.
11838 1 282773	Igor V. Cadez
3924 1 25693	Kai Zhang
6027 1 63441	A. Prasad Sistla
35732 3 9775	alphabet
2562 1 18332	Sophie H. Wang
12920 1 379130	Robert Miner
7512 1 113215	Donald Carney
26281 0 555196	Dimensionality Reduction for Similarity Searching in Dynamic Databases.
1712 1 16618	R. E. Ellis
6364 1 77217	Yuval Elovici
15969 0 12139	Multiagent Graph Coloring: Pareto Efficiency, Fairness and Individual Rationality.
2592 1 18390	Richard Booth
19999 0 309049	Actual Return Reinforcement Learning versus Temporal Differences: Some Theoretical and Experimental Results.
28528 0 625644	Efficient URL caching for world wide web crawling.
22038 0 361016	Conservative Extensions in Expressive Description Logics.
29813 3 1010	verity
18812 0 277318	Fast Data Access on Multiple Broadcast Channels.
23345 0 500495	Mining Time Series Using Rough Sets - A Case Study.
8159 1 114476	Jahna Otterbacher
24438 0 550873	Adapting ranking SVM to document retrieval.
7752 1 113841	Greg Pass
14042 1 422824	Romain Colle
21905 0 360750	Cooperating Reasoning Processes: More than Just the Sum of Their Parts.
682 1 12316	Chenxi Lin
23170 0 487133	Knowledge Acquisition from Both Human Expert and Data.
21376 0 359432	Learning DNF by Decision Trees.
21286 0 359194	Building Natural Language Interfaces for Rule-based Expert Systems.
13195 1 413404	David Richie
32822 3 4759	factorial
8619 1 124487	Arthur J. Bernstein
14143 1 438247	C. Tung
8474 1 117771	Piyush Shivam
1075 1 15426	Gustave Anderson
29128 3 277	connectionist
29746 3 941	transparent
33120 3 5193	bagging
9588 1 160668	Ning An
24723 0 551305	Information Retrieval using Impression of Documents as a Clue.
7701 1 113766	Anthony Kosky
7273 1 103330	Sang-Hee Lee
21266 0 359126	Principled Constructive Induction.
32603 3 4439	pro
18089 0 275786	Compressing Relations and Indexes.
34840 3 8205	closer
14344 1 438649	O. Sherif
9322 1 152581	Mary F. Fernandez
7634 1 113667	Tim Travers
34537 3 7681	krl
4010 1 26587	Francine Chen
14435 1 453549	Zhuogang Li
31806 3 3342	bottom
20542 0 357230	Evaluating Coverage for Large Symbolic NLG Grammars.
29307 3 474	main
30263 3 1494	abnormal
16866 0 117083	Optimal Multi-Scale Matching.
2507 1 18247	Anne Condon
28940 3 73	theorems
13755 1 422254	M. Higa
22729 0 437080	A data mining approach to modeling relationships among categories in image collection.
7954 1 114179	Wenwu Lou
19180 0 278067	T-Trees, Vertical Partitioning and Distributed Association Rule Mining.
13204 1 413436	Ching-Jiu Hsiao
34583 3 7760	prose
10084 1 175465	Ling Tony Chen
10724 1 230983	Carolyn J. Crouch
36057 3 10466	transmission
16381 0 86180	Constructing Information Systems Based on Schema Reuse.
30534 3 1808	expressive
29995 3 1206	games
18511 0 276656	Request Order Linked List (ROLL): A Concurrency Control Object for Centralized and Distributed Database Systems.
35278 3 9098	cfg
29282 3 447	entities
283 1 4865	Louiqa Raschid
33454 3 5950	diagram
28165 0 597268	AIDA: an Adaptive Immersive Data Analyzer.
12884 1 366687	Steven Loscalzo
13416 1 421284	P. F. King
7430 1 111041	Yiming Liu
30746 3 2056	be
1197 1 15615	Russell Bent
12435 1 317076	Michael Holmes
15255 0 10257	Using Abstraction and Nondeterminism to Plan Reaction Loops.
26577 0 555767	Automating physical database design in a parallel database.
14076 1 438121	J. Y. Caleca
9503 1 156984	Edgar B. Wendlandt
9713 1 164205	Daniel Gruhl
12237 1 316368	Shigeru Kuroe
5062 1 39371	Paul-Alexandru Chirita
16862 0 116965	Bayesian Multi-Camera Surveillance.
22270 0 436205	GESS: a scalable similarity-join algorithm for mining large data sets in high dimensional spaces.
22732 0 437085	Building connected neighborhood graphs for isometric data embedding.
15844 0 11907	Instance-level Semisupervised Multiple Instance Learning.
31039 3 2397	pairwise
2190 1 17560	Richard Maclin
29704 3 897	labeling
467 1 8998	Xiaoyuan Wu
4580 1 34163	Holger Schwarz
1195 1 15610	Le-Chi Tuan
13364 1 421207	P. Kerekes
35711 3 9750	accociation
6337 1 76436	Christian Panse
25355 0 552312	Quantify query ambiguity using ODP metadata.
34170 3 7053	omission
152 1 2836	Irwin King
23979 0 504455	Bottom-Up Beats Top-Down for Datalog.
1797 1 16766	Akshay Java
29200 3 358	system
27439 0 596007	Towards a Spatial Query Language: User Interface Considerations.
27825 0 596658	Experiments on Access to Digital Libraries: How can Images and Text be Used Together.
9703 1 164091	Sui-ky Ringo Ling
9583 1 160417	Reagan Moore
25452 0 552450	Multiple-signal duplicate detection for search evaluation.
20859 0 358058	A Comparison of Structural CSP Decomposition Methods.
21721 0 360282	A Clash of Intuitions: The Current State of Nonmonotonic Multiple Inheritance Systems.
20906 0 358143	A Possibilistic Planner that Deals with Non-Determinism and Contingency.
7931 1 114143	Cheng-Ru Lin
8883 1 138282	Erik G. Learned-Miller
18732 0 277144	Supporting Fine-grained Data Lineage in a Database Visualization Environment.
22392 0 436466	Discovering frequent topological structures from graph datasets.
32306 3 4020	effect
18390 0 276364	Increasing the Accuracy and Coverage of SQL Progress Indicators.
21668 0 360147	Natural Object Recognition: A Theoretical Framework and Its Implementation.
7303 1 104919	Zicheng Liu
8757 1 130484	Mihail F. Ionescu
9810 1 168501	M. Trigoboff
34195 3 7101	idealized
2523 1 18265	Mazin Assanie
33456 3 5952	reranking
33815 3 6535	equi
25725 0 554178	Efficient Optimization of a Class of Relational Expressions (Abstract).
33011 3 5008	rfid
10779 1 237285	Jonathan Wildstrom
36394 3 11021	searched
15562 0 11221	Encoding Probabilistic Causal Model in Probabilistic Action Language.
12741 1 366451	Daniel B. Neill
10508 1 198362	J. C. Shieh
28565 0 625901	Using web structure for classifying and describing web pages.
13890 1 422540	Murty Valiveti
32528 3 4334	portable
7624 1 113654	Sanjiv K. Bhatia
21496 0 359722	Artificial Intelligence and Macro-Economy, An Application.
35319 3 9167	imp
8769 1 131169	Andrei A. Krokhin
3563 1 20534	Petr Skobelev
15256 0 10274	Integrating Induction & Instruction: Connectionist Advice Taking.
8021 1 114277	Yingbo Miao
3474 1 20372	Shi-Xia Liu
30864 3 2204	compression
30153 3 1373	posterior
4486 1 33740	Michael Vassilakopoulos
8100 1 114401	Javier A. Arroyo-Figueroa
5775 1 55244	Karl J. Lieberherr
11953 1 283124	Akiko Takeda
23487 0 500797	Visual Terrain Analysis of High-Dimensional Datasets.
10971 1 260304	Matthew Bellew
24146 0 536352	Clustering in the Presence of Bridge-Nodes.
7926 1 114137	Ratko Orlandic
20996 0 358408	State Abstraction Discovery from Irrelevant State Variables.
10466 1 196453	Douglas Hardin
10279 1 178196	Hitoshi Iba
35176 3 8895	postprocessing
24494 0 550951	Framework for the Development of an Experimental Mixed-Mode Message System.
9828 1 168787	Masahiro Terabe
17118 0 156962	Combining Web Document Representations in a Bayesian Inference Network Model Using Link and Content-Based Evidence.
3454 1 20347	Alexandru Niculescu-Mizil
14464 1 453691	Duc Thanh Tran
35105 3 8758	ideas
13915 1 422598	P. Colin
36647 3 11387	jaguar
23706 0 503917	Space efficient mining of multigraph streams.
5329 1 46048	Hanhua Chen
16802 0 116120	A Curvature Based Descriptor Invariant to Pose and Albedo Derived from Photometric Data.
25235 0 552139	Methodological Issues for the Design of an Office Information Server - Focal Topics for the Analysis from an Office System Perspective.
28396 0 597661	A Cost-Estimation Component for Statement Sequences.
32050 3 3663	pointing
16574 0 86535	Efficient and Effective Metasearch for a Large Number of Text Databases.
13618 1 421562	Jangwon Seo
3486 1 20402	Douglas L. Vail
26645 0 555898	Can We Use the Universal Instance Assumption Without Using Nulls?
20051 0 309219	Repairing Faulty Mixture Models using Density Estimation.
15231 0 10160	Data-Driven Execution of Multi-Layered Networks for Automatic Speech Recognition.
18481 0 276594	DREAM: A Data Replication Technique for Real-Time Mobile Ad-hoc Network Databases.
23611 0 503748	Method Schemas.
11078 1 260542	Xueqing Gong
15130 0 9866	Plan Recognition Strategies in Student Modeling: Prediction and Description.
23522 0 500902	Discovery of Temporal Knowledge in Medical Time-Series Databases Using Moving Average, Multiscale Matching, and Rule Induction.
32282 3 3992	sourcing
1672 1 16530	Steven K. Donoho
25026 0 551786	Usefulness of hyperlink structure for query-biased topic distillation.
5234 1 43078	Carlo Combi
1025 1 15344	Yigal Arens
23397 0 500594	Dynamic Ensemble Re-Construction for Better Ranking.
18833 0 277353	Can Image Data be Integrated with Structured Data?
10590 1 210066	John H. Howard
18748 0 277163	User Defined Aggregates in Object-Relational Systems.
16985 0 118604	Filtered Component Analysis to Increase Robustness to Local Minima in Appearance Models.
22759 0 437125	Computing Optimized Rectilinear Regions for Association Rules.
9814 1 168550	Richard C. Meathrel
12216 1 316262	Rod Nicolson
17572 0 162803	Reasoning with Aggregation Constraints.
36296 3 10852	tera
12590 1 365260	Shlomo Dubnov
16356 0 86141	Batch data warehouse maintenance in dynamic environments.
27643 0 596329	Self-Descriptive Relational Data Base.
6138 1 69610	Leo Mark
2147 1 17475	David J. Israel
12852 1 366633	Susan Ditmore
2986 1 19325	Debra S. Jusak
19561 0 278710	Efficient Clustering of Uncertain Data.
21990 0 360912	Efficient and Robust Independence-Based Markov Network Structure Discovery.
24311 0 550662	Optimal Demand-oriented Topology for Hypertext Systems.
28558 0 625858	Extracting query modifications from nonlinear SVMs.
34399 3 7439	copy
30964 3 2317	replica
31748 3 3261	nature
6480 1 78143	M. Cr��hange
476 1 9091	Zhenyu Liu
31567 3 3038	others
9411 1 154835	Witold Staniszkis
10573 1 206781	Evan Kirshenbaum
15578 0 11276	Estimating Probability Distributions over Hypotheses with Variable Unification.
566 1 10496	Ken Barker
35763 3 9857	coe
3952 1 26201	Gert Smolka
31182 3 2567	objectbase
34246 3 7183	actual
1545 1 16316	Marie-Christine Lagasquie-Schiex
37114 3 12154	tune
22023 0 360990	Natural Language Query Recommendation in Conversation Systems.
13219 1 413471	David DeBarr
31722 3 3225	proficiency
31121 3 2495	accesses
31899 3 3468	shaving
30433 3 1692	repairing
9150 1 148992	Zong-Cheol Zhoo
10122 1 175533	Susan Nesson
10623 1 214251	Jian Zhai
32783 3 4709	prophet
16115 0 85688	Static score bucketing in inverted indexes.
33243 3 5456	tunable
56 1 1030	German K. M. Cheung
32038 3 3645	terminologies
13695 1 422159	Aleksandr Voskoboynik
8392 1 116727	Wallapak Tavanapong
23041 0 486797	Predicting Protein Interactions in Human by Homologous Interactions in Yeast.
30615 3 1894	improvement
946 1 15206	Maurizio Lenzerini
8346 1 114824	Jouni K. Sepp?nen
34120 3 6968	iron
12969 1 391088	Ramanathan Balachandran
4061 1 26979	Haizhou Li
17555 0 162768	Content-Based Routing of Path Queries in Peer-to-Peer Systems.
6100 1 69062	Paul N. Hilfinger
26034 0 554722	A Verifier for Interactive, Data-Driven Web Applications.
31353 3 2776	comprehensive
3375 1 20187	Thomas Bittner
33895 3 6645	charting
1418 1 16049	Jaime G. Carbonell
27030 0 595329	Analyzing Quantitative Databases: Image is Everything.
6309 1 75400	Paul J. Kennedy
31585 3 3057	gap
23568 0 501037	A Cooperative Game Theoretic Approach to Prototype Selection.
1724 1 16641	Jeffrey S. Rosenschein
4553 1 34029	Jixue Liu
23671 0 503862	The expressivity of XPath with transitive closure.
2499 1 18232	Hideki Asoh
37353 3 12611	converter
25130 0 551977	Unsupervised document classification using sequential information maximization.
7675 1 113731	Cyrus Azarbod
32956 3 4938	funded
27035 0 595334	An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System.
16122 0 85703	On Implementing SchemaLog - A Database Programming Language.
36542 3 11225	deflating
10031 1 173443	Josep Roure
20037 0 309174	A model for handling approximate, noisy or incomplete labeling in text classification.
20124 0 309446	Discriminative cluster analysis.
20334 0 356691	Reasoning about Student Knowledge and Reasoning.
10305 1 180595	Keith T. Mason
16285 0 86015	Flexible List Management in a Directory.
34095 3 6930	portfolio
26792 0 556170	On Joining and Caching Stochastic Streams.
23211 0 487223	Cleopatra: Evolutionary Pattern-Based Clustering of Web Usage Data.
11998 1 286437	Dijun Luo
27159 0 595546	SIRIUS: A French Nationwide Project on Distributed Data Bases.
5596 1 50786	Robert E. Schapire
8440 1 117313	Been-Chian Chien
12803 1 366549	Sitaram Dikshitulu
8536 1 123329	Toshiyuki Takezawa
18860 0 277400	Conquering the Divide: Continuous Clustering of Distributed Data Streams.
36952 3 11916	multimediaminer
17458 0 162560	Generalized Bottom-Up Query Evaluation.
19059 0 277803	On Monitoring the top-k Unsafe Places.
4569 1 34139	Peter Z. Revesz
6396 1 77809	Nicoleta Preda
13042 1 391323	Ridzwan Suri
27824 0 596657	AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments.
30162 3 1382	learnable
30980 3 2333	directory
33494 3 6014	distances
28703 0 626824	Utility analysis for topically biased PageRank.
34959 3 8461	programmers
24060 0 536222	On Clustering Binary Data.
15024 0 9464	Catoms: Moving Robots Without Moving Parts.
2050 1 17276	Jan Eric Larsson
14761 0 8565	Cost-Algebraic Heuristic Search.
